cAzimuth,cElevation,time
50.0,20.0,3976.0
10.0,20.0,3980.0
-30.0,20.0,3984.0
-70.0,20.0,3988.0
-90.0,20.0,3992.0
-50.0,20.0,3996.0
-10.0,20.0,4000.0
30.0,20.0,4004.0
70.0,20.0,4008.0
90.0,20.0,4012.0
50.0,20.0,4016.0
10.0,20.0,4020.0
-30.0,20.0,4024.0
-70.0,20.0,4028.0
-90.0,20.0,4032.0
-50.0,20.0,4036.0
-10.0,20.0,4040.0
30.0,20.0,4044.0
70.0,20.0,4048.0
90.0,20.0,4052.0
50.0,20.0,4056.0
10.0,20.0,4060.0
-30.0,20.0,4064.0
-70.0,20.0,4068.0
-90.0,20.0,4072.0
-50.0,20.0,4076.0
-10.0,20.0,4080.0
30.0,20.0,4084.0
70.0,20.0,4088.0
90.0,20.0,4092.0
50.0,20.0,4096.0
10.0,20.0,4100.0
-30.0,20.0,4104.0
-70.0,20.0,4108.0
-90.0,20.0,4112.0
-50.0,20.0,4116.0
-10.0,20.0,4120.0
30.0,20.0,4124.0
70.0,20.0,4128.0
90.0,20.0,4132.0
50.0,20.0,4136.0
10.0,20.0,4140.0
-30.0,20.0,4144.0
-70.0,20.0,4148.0
-90.0,20.0,4152.0
-50.0,20.0,4156.0
-10.0,20.0,4160.0
30.0,20.0,4164.0
70.0,20.0,4168.0
90.0,20.0,4172.0
50.0,20.0,4176.0
10.0,20.0,4180.0
-30.0,20.0,4184.0
-70.0,20.0,4188.0
-90.0,20.0,4192.0
